Algoritmo,Tiempo,Tamaño,Orden
InsertionSort,270.393,10000,Ascendente
InsertionSort,963.438,10000,Descendente
InsertionSort,610.704,10000,Desordenado
MergeSort,6.3851,10000,Ascendente
MergeSort,6.1347,10000,Descendente
MergeSort,7.2069,10000,Desordenado
QuickSort,900.479,10000,Ascendente
QuickSort,530.23,10000,Descendente
QuickSort,10.538,10000,Desordenado
C++Sort,2.03119,10000,Ascendente
C++Sort,1.62959,10000,Descendente
C++Sort,2.66228,10000,Desordenado
InsertionSort,1070.37,20000,Ascendente
InsertionSort,3824.45,20000,Descendente
InsertionSort,2440.98,20000,Desordenado
MergeSort,12.8143,20000,Ascendente
MergeSort,12.8315,20000,Descendente
MergeSort,14.8088,20000,Desordenado
QuickSort,3581.85,20000,Ascendente
QuickSort,2109.74,20000,Descendente
QuickSort,38.9951,20000,Desordenado
C++Sort,4.4815,20000,Ascendente
C++Sort,3.6102,20000,Descendente
C++Sort,5.6656,20000,Desordenado
InsertionSort,2424.02,30000,Ascendente
InsertionSort,8706.66,30000,Descendente
InsertionSort,5495.89,30000,Desordenado
MergeSort,20.0031,30000,Ascendente
MergeSort,19.4343,30000,Descendente
MergeSort,22.9801,30000,Desordenado
QuickSort,8062.45,30000,Ascendente
QuickSort,4727.94,30000,Descendente
QuickSort,87.6682,30000,Desordenado
C++Sort,6.2024,30000,Ascendente
C++Sort,5.2073,30000,Descendente
C++Sort,9.0481,30000,Desordenado
InsertionSort,4299.87,40000,Ascendente
InsertionSort,15355.3,40000,Descendente
InsertionSort,9771.59,40000,Desordenado
MergeSort,26.3161,40000,Ascendente
MergeSort,26.1603,40000,Descendente
MergeSort,30.2912,40000,Desordenado
QuickSort,14319.3,40000,Ascendente
QuickSort,8407.78,40000,Descendente
QuickSort,148.735,40000,Desordenado
C++Sort,9.1468,40000,Ascendente
C++Sort,7.5276,40000,Descendente
C++Sort,12.4049,40000,Desordenado
InsertionSort,6704.9,50000,Ascendente
InsertionSort,23957.3,50000,Descendente
InsertionSort,15396.5,50000,Desordenado
MergeSort,33.7119,50000,Ascendente
MergeSort,34.8997,50000,Descendente
MergeSort,38.6961,50000,Desordenado
QuickSort,22368.1,50000,Ascendente
QuickSort,13150.3,50000,Descendente
QuickSort,232.17,50000,Desordenado
C++Sort,11.2719,50000,Ascendente
C++Sort,9.1341,50000,Descendente
C++Sort,15.9153,50000,Desordenado
InsertionSort,9668.39,60000,Ascendente
InsertionSort,34473.9,60000,Descendente
InsertionSort,21988.8,60000,Desordenado
MergeSort,42.2481,60000,Ascendente
MergeSort,40.937,60000,Descendente
MergeSort,46.8008,60000,Desordenado
QuickSort,32446.7,60000,Ascendente
QuickSort,18955.1,60000,Descendente
QuickSort,340.534,60000,Desordenado
C++Sort,13.531,60000,Ascendente
C++Sort,10.737,60000,Descendente
C++Sort,19.1435,60000,Desordenado
InsertionSort,14342.7,70000,Ascendente
InsertionSort,47225,70000,Descendente
InsertionSort,30393.4,70000,Desordenado
MergeSort,46.9817,70000,Ascendente
MergeSort,47.367,70000,Descendente
MergeSort,55.0245,70000,Desordenado
QuickSort,43942.7,70000,Ascendente
QuickSort,25752.6,70000,Descendente
QuickSort,449.421,70000,Desordenado
C++Sort,15.2146,70000,Ascendente
C++Sort,13.7068,70000,Descendente
C++Sort,22.4239,70000,Desordenado
InsertionSort,17163,80000,Ascendente
InsertionSort,61335.1,80000,Descendente
InsertionSort,39342.5,80000,Desordenado
MergeSort,62.3211,80000,Ascendente
MergeSort,92.6747,80000,Descendente
MergeSort,90.722,80000,Desordenado
QuickSort,58238.6,80000,Ascendente
QuickSort,33756.9,80000,Descendente
QuickSort,587.047,80000,Desordenado
C++Sort,19.5379,80000,Ascendente
C++Sort,15.4749,80000,Descendente
C++Sort,26.3027,80000,Desordenado
InsertionSort,21749.3,90000,Ascendente
InsertionSort,77935.3,90000,Descendente
InsertionSort,49448.1,90000,Desordenado
MergeSort,61.9543,90000,Ascendente
MergeSort,60.6937,90000,Descendente
MergeSort,71.0537,90000,Desordenado
QuickSort,73691.9,90000,Ascendente
QuickSort,42715.5,90000,Descendente
QuickSort,740.33,90000,Desordenado
C++Sort,21.9219,90000,Ascendente
C++Sort,17.1937,90000,Descendente
C++Sort,30.867,90000,Desordenado
InsertionSort,27051.9,100000,Ascendente
InsertionSort,100685,100000,Descendente
InsertionSort,65667.1,100000,Desordenado
MergeSort,68.0555,100000,Ascendente
MergeSort,68.3084,100000,Descendente
MergeSort,80.9591,100000,Desordenado
QuickSort,90868.2,100000,Ascendente
QuickSort,53060.5,100000,Descendente
QuickSort,910.69,100000,Desordenado
C++Sort,24.2354,100000,Ascendente
C++Sort,19.0668,100000,Descendente
C++Sort,33.9175,100000,Desordenado
